total_training_flops,total_training_flops_timestamp,timestamp_ms,time_utc
0.0,1770799653401,1770799653401,2026-02-11 08:47:33.401000+00:00
0.0,1770799672007,1770799672007,2026-02-11 08:47:52.007000+00:00
4.381303319298048e+17,1770801414588,1770801414588,2026-02-11 09:16:54.588000+00:00
8.762606638596096e+17,1770803156199,1770803156199,2026-02-11 09:45:56.199000+00:00
1.095325829824512e+18,1770804099080,1770804099080,2026-02-11 10:01:39.080000+00:00
1.3143909957894144e+18,1770804987236,1770804987236,2026-02-11 10:16:27.236000+00:00
1.7525213277192192e+18,1770806728865,1770806728865,2026-02-11 10:45:28.865000+00:00
2.190651659649024e+18,1770808542469,1770808542469,2026-02-11 11:15:42.469000+00:00
2.190651659649024e+18,1770808559890,1770808559890,2026-02-11 11:15:59.890000+00:00
2.628781991578829e+18,1770810301536,1770810301536,2026-02-11 11:45:01.536000+00:00
3.0669123235086336e+18,1770812043102,1770812043102,2026-02-11 12:14:03.102000+00:00
3.285977489473536e+18,1770812985642,1770812985642,2026-02-11 12:29:45.642000+00:00
3.5050426554384384e+18,1770813873662,1770813873662,2026-02-11 12:44:33.662000+00:00
3.943172987368243e+18,1770815615236,1770815615236,2026-02-11 13:13:35.236000+00:00
4.381303319298048e+18,1770817428868,1770817428868,2026-02-11 13:43:48.868000+00:00
4.381303319298048e+18,1770817446328,1770817446328,2026-02-11 13:44:06.328000+00:00
4.819433651227853e+18,1770819187868,1770819187868,2026-02-11 14:13:07.868000+00:00
5.257563983157658e+18,1770820929329,1770820929329,2026-02-11 14:42:09.329000+00:00
5.47662914912256e+18,1770821871946,1770821871946,2026-02-11 14:57:51.946000+00:00
5.695694315087462e+18,1770822760114,1770822760114,2026-02-11 15:12:40.114000+00:00
6.133824647017267e+18,1770824501569,1770824501569,2026-02-11 15:41:41.569000+00:00
6.571954978947072e+18,1770826314605,1770826314605,2026-02-11 16:11:54.605000+00:00
6.571954978947072e+18,1770826332042,1770826332042,2026-02-11 16:12:12.042000+00:00
7.010085310876877e+18,1770828073234,1770828073234,2026-02-11 16:41:13.234000+00:00
7.448215642806682e+18,1770829814563,1770829814563,2026-02-11 17:10:14.563000+00:00
7.667280808771584e+18,1770830757296,1770830757296,2026-02-11 17:25:57.296000+00:00
7.886345974736486e+18,1770831645374,1770831645374,2026-02-11 17:40:45.374000+00:00
8.324476306666291e+18,1770833386762,1770833386762,2026-02-11 18:09:46.762000+00:00
8.762606638596096e+18,1770835200042,1770835200042,2026-02-11 18:40:00.042000+00:00
8.762606638596096e+18,1770835510728,1770835510728,2026-02-11 18:45:10.728000+00:00
8.762606638596096e+18,1770835542319,1770835542319,2026-02-11 18:45:42.319000+00:00
9.2007369705259e+18,1770837283637,1770837283637,2026-02-11 19:14:43.637000+00:00
9.223372036854776e+18,1770839025088,1770839025088,2026-02-11 19:43:45.088000+00:00
9.223372036854776e+18,1770839967625,1770839967625,2026-02-11 19:59:27.625000+00:00
9.223372036854776e+18,1770840855609,1770840855609,2026-02-11 20:14:15.609000+00:00
9.223372036854776e+18,1770842597060,1770842597060,2026-02-11 20:43:17.060000+00:00
9.223372036854776e+18,1770844410129,1770844410129,2026-02-11 21:13:30.129000+00:00
9.223372036854776e+18,1770844427545,1770844427545,2026-02-11 21:13:47.545000+00:00
9.223372036854776e+18,1770846168873,1770846168873,2026-02-11 21:42:48.873000+00:00
9.223372036854776e+18,1770847910216,1770847910216,2026-02-11 22:11:50.216000+00:00
9.223372036854776e+18,1770848852986,1770848852986,2026-02-11 22:27:32.986000+00:00
9.223372036854776e+18,1770849741173,1770849741173,2026-02-11 22:42:21.173000+00:00
9.223372036854776e+18,1770851482549,1770851482549,2026-02-11 23:11:22.549000+00:00
9.223372036854776e+18,1770853296065,1770853296065,2026-02-11 23:41:36.065000+00:00
9.223372036854776e+18,1770853313488,1770853313488,2026-02-11 23:41:53.488000+00:00
9.223372036854776e+18,1770855054895,1770855054895,2026-02-12 00:10:54.895000+00:00
9.223372036854776e+18,1770856796516,1770856796516,2026-02-12 00:39:56.516000+00:00
9.223372036854776e+18,1770857738894,1770857738894,2026-02-12 00:55:38.894000+00:00
9.223372036854776e+18,1770858627147,1770858627147,2026-02-12 01:10:27.147000+00:00
9.223372036854776e+18,1770860368766,1770860368766,2026-02-12 01:39:28.766000+00:00
9.223372036854776e+18,1770862182113,1770862182113,2026-02-12 02:09:42.113000+00:00
9.223372036854776e+18,1770862199532,1770862199532,2026-02-12 02:09:59.532000+00:00
9.223372036854776e+18,1770863940950,1770863940950,2026-02-12 02:39:00.950000+00:00
9.223372036854776e+18,1770865682434,1770865682434,2026-02-12 03:08:02.434000+00:00
9.223372036854776e+18,1770866625057,1770866625057,2026-02-12 03:23:45.057000+00:00
9.223372036854776e+18,1770867513055,1770867513055,2026-02-12 03:38:33.055000+00:00
9.223372036854776e+18,1770869254641,1770869254641,2026-02-12 04:07:34.641000+00:00
9.223372036854776e+18,1770871068034,1770871068034,2026-02-12 04:37:48.034000+00:00
9.223372036854776e+18,1770871382314,1770871382314,2026-02-12 04:43:02.314000+00:00
9.223372036854776e+18,1770871414100,1770871414100,2026-02-12 04:43:34.100000+00:00
9.223372036854776e+18,1770873155378,1770873155378,2026-02-12 05:12:35.378000+00:00
9.223372036854776e+18,1770874896998,1770874896998,2026-02-12 05:41:36.998000+00:00
9.223372036854776e+18,1770875839626,1770875839626,2026-02-12 05:57:19.626000+00:00
9.223372036854776e+18,1770876727742,1770876727742,2026-02-12 06:12:07.742000+00:00
9.223372036854776e+18,1770878469376,1770878469376,2026-02-12 06:41:09.376000+00:00
9.223372036854776e+18,1770880282622,1770880282622,2026-02-12 07:11:22.622000+00:00
9.223372036854776e+18,1770880300045,1770880300045,2026-02-12 07:11:40.045000+00:00
9.223372036854776e+18,1770882041384,1770882041384,2026-02-12 07:40:41.384000+00:00
9.223372036854776e+18,1770883782956,1770883782956,2026-02-12 08:09:42.956000+00:00
9.223372036854776e+18,1770884725490,1770884725490,2026-02-12 08:25:25.490000+00:00
9.223372036854776e+18,1770885613573,1770885613573,2026-02-12 08:40:13.573000+00:00
9.223372036854776e+18,1770887355212,1770887355212,2026-02-12 09:09:15.212000+00:00
9.223372036854776e+18,1770889186602,1770889186602,2026-02-12 09:39:46.602000+00:00
9.223372036854776e+18,1770889204008,1770889204008,2026-02-12 09:40:04.008000+00:00
9.223372036854776e+18,1770890945199,1770890945199,2026-02-12 10:09:05.199000+00:00
9.223372036854776e+18,1770892686628,1770892686628,2026-02-12 10:38:06.628000+00:00
9.223372036854776e+18,1770893629191,1770893629191,2026-02-12 10:53:49.191000+00:00
9.223372036854776e+18,1770894517314,1770894517314,2026-02-12 11:08:37.314000+00:00
9.223372036854776e+18,1770896259075,1770896259075,2026-02-12 11:37:39.075000+00:00
9.223372036854776e+18,1770896871076,1770896871076,2026-02-12 11:47:51.076000+00:00
9.223372036854776e+18,1770897185539,1770897185539,2026-02-12 11:53:05.539000+00:00
