total_training_time,total_training_time_timestamp,timestamp_ms,time_utc
0.0,1770799653402,1770799653402,2026-02-11 08:47:33.402000+00:00
0.0,1770799672007,1770799672007,2026-02-11 08:47:52.007000+00:00
1567.46551322937,1770801414588,1770801414588,2026-02-11 09:16:54.588000+00:00
3308.995673894882,1770803156199,1770803156199,2026-02-11 09:45:56.199000+00:00
4162.492381334305,1770804099081,1770804099081,2026-02-11 10:01:39.081000+00:00
5050.600800991058,1770804987236,1770804987236,2026-02-11 10:16:27.236000+00:00
6792.14886713028,1770806728865,1770806728865,2026-02-11 10:45:28.865000+00:00
8516.244731903076,1770808542469,1770808542469,2026-02-11 11:15:42.469000+00:00
8533.65929389,1770808559890,1770808559890,2026-02-11 11:15:59.890000+00:00
10275.22444415092,1770810301536,1770810301536,2026-02-11 11:45:01.536000+00:00
12016.70673394203,1770812043102,1770812043102,2026-02-11 12:14:03.102000+00:00
12869.83112859726,1770812985642,1770812985642,2026-02-11 12:29:45.642000+00:00
13757.80892014503,1770813873663,1770813873663,2026-02-11 12:44:33.663000+00:00
15499.30355501175,1770815615236,1770815615236,2026-02-11 13:13:35.236000+00:00
17223.50519442558,1770817428868,1770817428868,2026-02-11 13:43:48.868000+00:00
17240.95875740051,1770817446328,1770817446328,2026-02-11 13:44:06.328000+00:00
18982.42153143883,1770819187869,1770819187869,2026-02-11 14:13:07.869000+00:00
20723.79735136032,1770820929330,1770820929330,2026-02-11 14:42:09.330000+00:00
21576.96338915825,1770821871947,1770821871947,2026-02-11 14:57:51.947000+00:00
22465.08656930923,1770822760115,1770822760115,2026-02-11 15:12:40.115000+00:00
24206.45836639404,1770824501570,1770824501570,2026-02-11 15:41:41.570000+00:00
25930.25848674774,1770826314606,1770826314606,2026-02-11 16:11:54.606000+00:00
25947.68796396255,1770826332042,1770826332042,2026-02-11 16:12:12.042000+00:00
27688.80083060265,1770828073235,1770828073235,2026-02-11 16:41:13.235000+00:00
29430.04889011383,1770829814564,1770829814564,2026-02-11 17:10:14.564000+00:00
30283.34114336967,1770830757297,1770830757297,2026-02-11 17:25:57.297000+00:00
31171.37192249298,1770831645374,1770831645374,2026-02-11 17:40:45.374000+00:00
32912.6790163517,1770833386762,1770833386762,2026-02-11 18:09:46.762000+00:00
34636.70377874374,1770835200042,1770835200042,2026-02-11 18:40:00.042000+00:00
34654.09744143486,1770835542320,1770835542320,2026-02-11 18:45:42.320000+00:00
36395.33481860161,1770837283637,1770837283637,2026-02-11 19:14:43.637000+00:00
38136.70273017883,1770839025089,1770839025089,2026-02-11 19:43:45.089000+00:00
38990.10323166847,1770839967626,1770839967626,2026-02-11 19:59:27.626000+00:00
39878.04127573967,1770840855610,1770840855610,2026-02-11 20:14:15.610000+00:00
41619.41067075729,1770842597060,1770842597060,2026-02-11 20:43:17.060000+00:00
43343.30468058586,1770844410130,1770844410130,2026-02-11 21:13:30.130000+00:00
43360.71168398857,1770844427545,1770844427545,2026-02-11 21:13:47.545000+00:00
45101.95823311806,1770846168874,1770846168874,2026-02-11 21:42:48.874000+00:00
46843.2198073864,1770847910217,1770847910217,2026-02-11 22:11:50.217000+00:00
47696.51236915588,1770848852987,1770848852987,2026-02-11 22:27:32.987000+00:00
48584.64049220085,1770849741174,1770849741174,2026-02-11 22:42:21.174000+00:00
50325.93391489983,1770851482550,1770851482550,2026-02-11 23:11:22.550000+00:00
52050.15561342239,1770853296065,1770853296065,2026-02-11 23:41:36.065000+00:00
52067.57080745697,1770853313488,1770853313488,2026-02-11 23:41:53.488000+00:00
53808.89701223373,1770855054895,1770855054895,2026-02-12 00:10:54.895000+00:00
55550.43681025505,1770856796516,1770856796516,2026-02-12 00:39:56.516000+00:00
56403.62582278252,1770857738895,1770857738895,2026-02-12 00:55:38.895000+00:00
57291.83153486252,1770858627147,1770858627147,2026-02-12 01:10:27.147000+00:00
59033.36934161186,1770860368767,1770860368767,2026-02-12 01:39:28.767000+00:00
60757.37760567665,1770862182114,1770862182114,2026-02-12 02:09:42.114000+00:00
60774.78929328918,1770862199532,1770862199532,2026-02-12 02:09:59.532000+00:00
62516.12576413155,1770863940950,1770863940950,2026-02-12 02:39:00.950000+00:00
64257.52709341049,1770865682435,1770865682435,2026-02-12 03:08:02.435000+00:00
65110.86796593666,1770866625057,1770866625057,2026-02-12 03:23:45.057000+00:00
65998.82115387917,1770867513056,1770867513056,2026-02-12 03:38:33.056000+00:00
67740.3266942501,1770869254641,1770869254641,2026-02-12 04:07:34.641000+00:00
69464.30538344383,1770871068034,1770871068034,2026-02-12 04:37:48.034000+00:00
69481.69976091385,1770871414100,1770871414100,2026-02-12 04:43:34.100000+00:00
71222.89607596397,1770873155378,1770873155378,2026-02-12 05:12:35.378000+00:00
72964.43597769737,1770874896999,1770874896999,2026-02-12 05:41:36.999000+00:00
73817.83601284027,1770875839626,1770875839626,2026-02-12 05:57:19.626000+00:00
74705.90610909462,1770876727742,1770876727742,2026-02-12 06:12:07.742000+00:00
76447.45850133896,1770878469376,1770878469376,2026-02-12 06:41:09.376000+00:00
78171.35179781914,1770880282622,1770880282622,2026-02-12 07:11:22.622000+00:00
78188.7682402134,1770880300045,1770880300045,2026-02-12 07:11:40.045000+00:00
79930.02729773521,1770882041384,1770882041384,2026-02-12 07:40:41.384000+00:00
81671.51925396919,1770883782956,1770883782956,2026-02-12 08:09:42.956000+00:00
82524.71395397186,1770884725490,1770884725490,2026-02-12 08:25:25.490000+00:00
83412.73641300201,1770885613574,1770885613574,2026-02-12 08:40:13.574000+00:00
85154.29409766197,1770887355213,1770887355213,2026-02-12 09:09:15.213000+00:00
86878.25556278229,1770889186603,1770889186603,2026-02-12 09:39:46.603000+00:00
86895.65418171883,1770889204008,1770889204008,2026-02-12 09:40:04.008000+00:00
88636.75956559181,1770890945200,1770890945200,2026-02-12 10:09:05.200000+00:00
90378.10516810416,1770892686628,1770892686628,2026-02-12 10:38:06.628000+00:00
91231.25579476357,1770893629191,1770893629191,2026-02-12 10:53:49.191000+00:00
92119.3240172863,1770894517314,1770894517314,2026-02-12 11:08:37.314000+00:00
93861.00490379332,1770896259076,1770896259076,2026-02-12 11:37:39.076000+00:00
94383.4109773636,1770896871076,1770896871076,2026-02-12 11:47:51.076000+00:00
